               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050143,            0.025286,           0.0056969,             0.59652,             0.82407,             0.70983,              0.3761,            0.052096,            0.012114,           0.0018856,           0.0079618,           0.0079618,           0.0079618
                  37,            0.053436,             0.02306,           0.0088799,             0.51382,             0.73571,              0.6414,             0.34354,            0.056939,             0.01054,            0.001933,           0.0079035,           0.0079035,           0.0079035
                  38,            0.056436,            0.020523,           0.0076691,             0.61053,              0.7569,             0.69687,             0.33908,            0.042047,            0.010633,            0.001906,           0.0078453,           0.0078453,           0.0078453
                  39,            0.047921,            0.024003,           0.0051801,             0.64185,             0.65951,             0.72615,              0.4018,            0.051056,            0.010029,           0.0018468,           0.0077871,           0.0077871,           0.0077871
                  40,            0.049786,            0.022802,           0.0057012,             0.70045,             0.63077,             0.75978,             0.37799,            0.044298,            0.010135,           0.0016439,           0.0077288,           0.0077288,           0.0077288
                  41,            0.048394,            0.025441,           0.0062519,             0.58495,             0.85279,             0.81928,             0.44421,            0.051412,           0.0099624,           0.0016784,           0.0076706,           0.0076706,           0.0076706
                  42,            0.043977,            0.021261,           0.0044371,             0.61228,             0.84729,             0.78042,             0.45988,            0.045682,            0.010007,           0.0018082,           0.0076124,           0.0076124,           0.0076124
                  43,            0.046159,            0.023169,            0.003979,             0.69978,             0.88018,             0.84667,             0.45178,            0.047441,            0.010123,           0.0017603,           0.0075541,           0.0075541,           0.0075541
                  44,               0.049,            0.024636,           0.0048767,             0.78567,             0.82324,             0.89254,             0.50044,            0.040098,             0.01046,            0.001854,           0.0074959,           0.0074959,           0.0074959
                  45,             0.04427,            0.021729,            0.005345,             0.61059,             0.82487,             0.77797,             0.45291,            0.047286,            0.010232,           0.0017125,           0.0074376,           0.0074376,           0.0074376
                  46,            0.051117,            0.020574,           0.0040785,             0.72817,             0.84793,             0.83832,             0.47112,            0.047169,            0.010153,           0.0017936,           0.0073794,           0.0073794,           0.0073794
                  47,            0.045855,            0.019983,           0.0061131,             0.65637,             0.78137,             0.77522,             0.42937,              0.0463,           0.0094855,            0.001812,           0.0073212,           0.0073212,           0.0073212
                  48,            0.045172,            0.022107,           0.0037094,             0.55541,             0.79789,             0.71021,             0.40824,            0.048906,           0.0098472,           0.0016686,           0.0072629,           0.0072629,           0.0072629
                  49,            0.048184,            0.021286,           0.0049866,             0.78143,             0.85351,             0.87121,             0.50451,            0.042977,           0.0094721,           0.0017528,           0.0072047,           0.0072047,           0.0072047
